fold,density,n_train_patients,n_eval_patients,n_channels,n_valid_profile_channels,profile_channel_coverage,n_graph_edges,n_valid_edges,mean_edge_weight,edge_semantic_similarity,matched_nonedge_semantic_similarity,edge_minus_matched_nonedge,matched_exact_stratum_rate,primary_permutation_effect_mean,primary_permutation_effect_sd,primary_permutation_p_fold,topology_edge_similarity_mean_secondary,topology_edge_similarity_sd_secondary,topology_edge_similarity_p_fold_secondary,topology_observed_edge_similarity_secondary,topology_successful_rewires,topology_failed_rewires,topology_mean_edge_change_fraction,pairwise_coupling_semantic_rho_descriptive,global_nmi,global_ari,n_communities,mean_profile_mass
0,0.01,288,72,2208,2208,1.0,24366,24366,0.5958467389602357,0.8011282645133518,0.7221415124450129,0.07898675206833894,1.0,0.0001531860623328255,0.004192440025426219,0.000999000999000999,0.7529480996469233,0.0006281130208156193,0.009900990099009901,0.8011282645133518,100,0,0.7251329721743415,0.09615970720839591,0.15353867828878334,0.04074792784199339,531,0.1329023144613215
0,0.025,288,72,2208,2208,1.0,60914,60914,0.5261220681157925,0.7812441071602138,0.7178656477578066,0.06337845940240716,1.0,-4.5421350885844094e-05,0.0026857909719965383,0.000999000999000999,0.7430126021373425,0.0003520818853412358,0.009900990099009901,0.7812441071602138,100,0,0.7413927832682142,0.09615970720839591,0.07057039153530385,0.03845036998728007,99,0.1329023144613215
0,0.05,288,72,2208,2208,1.0,121827,121827,0.46620443186660376,0.7683243397026245,0.7172585480366,0.05106579166602443,1.0,-1.644389110401834e-05,0.0019759176391778016,0.000999000999000999,0.7373445879187274,0.0002633675996511354,0.009900990099009901,0.7683243397026245,100,0,0.7435858225188176,0.09615970720839591,0.03576843133435233,0.02963302535583176,14,0.1329023144613215
0,0.1,288,72,2208,2208,1.0,243653,243653,0.39871968288948495,0.7562674705727299,0.716997111956091,0.03927035861663897,1.0,-4.514408712384155e-05,0.00130861156006554,0.000999000999000999,0.7327002213330611,0.00018597849944638039,0.009900990099009901,0.7562674705727299,100,0,0.7300699355230594,0.09615970720839591,0.03108615341731797,0.028389069244301037,4,0.1329023144613215
1,0.01,288,72,2208,2208,1.0,24366,24366,0.5994148080827869,0.7958146761068684,0.720812637906395,0.07500203820047335,1.0,5.90325100666439e-05,0.0039074813964976056,0.000999000999000999,0.7475122774885495,0.0006387514732892921,0.009900990099009901,0.7958146761068684,100,0,0.7399569071657227,0.09174855454040975,0.15208703664190718,0.03327775031349451,554,0.13307056849307716
1,0.025,288,72,2208,2208,1.0,60914,60914,0.5299136916666916,0.7774246809111265,0.7183214171893897,0.0591032637217368,1.0,-7.945894560308474e-06,0.0026321527218410115,0.000999000999000999,0.739851678609253,0.00039345826810782865,0.009900990099009901,0.7774246809111265,100,0,0.7514612404373381,0.09174855454040975,0.07210880188676577,0.03560567775532614,112,0.13307056849307716
1,0.05,288,72,2208,2208,1.0,121827,121827,0.4701472295730852,0.7647648816260331,0.7190586313996303,0.045706250226402734,1.0,-5.102738677209351e-05,0.0017694103927393394,0.000999000999000999,0.7351801493970576,0.00028771258500068036,0.009900990099009901,0.7647648816260331,100,0,0.7501992990059674,0.09174855454040975,0.03785101334510087,0.03099839672403398,17,0.13307056849307716
1,0.1,288,72,2208,2208,1.0,243653,243653,0.40258205067022323,0.7534900746720712,0.7190238809405832,0.03446619373148796,1.0,1.476726558202246e-05,0.0012010310389387617,0.000999000999000999,0.731260708557967,0.0001943884652081898,0.009900990099009901,0.7534900746720712,100,0,0.7341342400873374,0.09174855454040975,0.029165679394620156,0.026544550128992997,4,0.13307056849307716
2,0.01,288,72,2208,2208,1.0,24366,24366,0.6113903719739034,0.792655711966573,0.714119737988536,0.07853597397803702,1.0,-0.0001079137881796296,0.004461956116901293,0.000999000999000999,0.7458138811181808,0.0006742682504430112,0.009900990099009901,0.792655711966573,100,0,0.7197369285069358,0.08998688175303951,0.15948205005996047,0.03482711310141799,609,0.1343688372609128
2,0.025,288,72,2208,2208,1.0,60914,60914,0.5406939088294818,0.7741620351832105,0.7113325010937335,0.062829534089477,1.0,-4.5070747496599564e-05,0.0026862917945079364,0.000999000999000999,0.7367250385766675,0.00040185006237587436,0.009900990099009901,0.7741620351832105,100,0,0.7361906950783071,0.08998688175303951,0.08141473651777943,0.036945763674365105,145,0.1343688372609128
2,0.05,288,72,2208,2208,1.0,121827,121827,0.4795891288548264,0.7606248818314758,0.7119886970698309,0.048636184761644885,1.0,-8.086113069420641e-06,0.0019548522639932005,0.000999000999000999,0.7313277608623474,0.0002566461220609502,0.009900990099009901,0.7606248818314758,100,0,0.7386340466399075,0.08998688175303951,0.03589756539278689,0.030294201275760504,16,0.1343688372609128
2,0.1,288,72,2208,2208,1.0,243653,243653,0.4105972070573888,0.7486336257303828,0.7115381391990053,0.03709548653137751,1.0,3.0877004965077503e-06,0.0013207111064924308,0.000999000999000999,0.726656240970741,0.00019784860452710237,0.009900990099009901,0.7486336257303828,100,0,0.7257728819263459,0.08998688175303951,0.029265126492251454,0.026990599572285463,4,0.1343688372609128
3,0.01,288,72,2208,2208,1.0,24366,24366,0.6061158260180147,0.7992514087110277,0.7234711563026404,0.07578025240838737,1.0,6.388337175584158e-05,0.004200666040382879,0.000999000999000999,0.7520341876509437,0.000591298291640385,0.009900990099009901,0.7992514087110277,100,0,0.7201099893293933,0.08955827809236452,0.16155037968542224,0.044558426102111144,598,0.1337253546422189
3,0.025,288,72,2208,2208,1.0,60914,60914,0.5355432327072782,0.7814449277963877,0.7217327731359529,0.05971215466043489,1.0,5.690162376017516e-05,0.002717080066615923,0.000999000999000999,0.7435833448139852,0.0003562034110011173,0.009900990099009901,0.7814449277963877,100,0,0.7350968578651872,0.08955827809236452,0.08458200271060079,0.04395750544123429,142,0.1337253546422189
3,0.05,288,72,2208,2208,1.0,121827,121827,0.47473254533941445,0.7688367375148688,0.7189787252398064,0.04985801227506237,1.0,3.819584794231645e-05,0.0018938319613406715,0.000999000999000999,0.7387268293975358,0.0002834036894307723,0.009900990099009901,0.7688367375148688,100,0,0.7368981424478973,0.08955827809236452,0.04410058537214403,0.03955686036294986,14,0.1337253546422189
3,0.1,288,72,2208,2208,1.0,243653,243653,0.40598214200597804,0.7568524286883647,0.7186367588743303,0.03821566981403435,1.0,9.549882954535638e-05,0.001297855278001546,0.000999000999000999,0.7342304492153179,0.00016953693659939106,0.009900990099009901,0.7568524286883647,100,0,0.7245550024009556,0.08955827809236452,0.0340784509384584,0.0334201220297378,4,0.1337253546422189
4,0.01,288,72,2208,2208,1.0,24366,24366,0.5973739910982805,0.8012521538016136,0.729015437995705,0.07223671580590862,1.0,7.488158585201576e-07,0.004118448861087339,0.000999000999000999,0.7560144337988376,0.0005192912981975326,0.009900990099009901,0.8012521538016136,100,0,0.7330464581794303,0.08321369397047554,0.1565970016381963,0.04213380445754693,557,0.1341881032308454
