fold,coupling_bin,n_pairs,mean_coupling,mean_semantic_similarity
0,1,243653,-0.3696185228975212,0.7016112208536996
0,2,243653,-0.2156994661088506,0.7067494103281943
0,3,243653,-0.1354088470982164,0.7102087826665421
0,4,243653,-0.07154746746743854,0.7126060810945559
0,5,243653,-0.014178052744178172,0.7158992427135019
0,6,243653,0.041520084927175946,0.7190752392492424
0,7,243653,0.09898634410901526,0.7222473170094469
0,8,243653,0.16264319806885427,0.7279760095674436
0,9,243652,0.2429387591704544,0.7350469029116169
0,10,243652,0.3987201096399969,0.756267389947274
1,1,243653,-0.3749545307848422,0.7017630976087033
1,2,243653,-0.2193183227796674,0.7067340628602928
1,3,243653,-0.13785799217787695,0.7098272460857656
1,4,243653,-0.07293587201144536,0.713814040638233
1,5,243653,-0.014600401524987932,0.7165657549110614
1,6,243653,0.04182128279224877,0.7199079793197057
1,7,243653,0.10002537655278178,0.7232508360670641
1,8,243653,0.164574417945897,0.728228058500578
1,9,243652,0.24580837418781695,0.7340472544354841
1,10,243652,0.4025824792795249,0.7534910442706015
2,1,243653,-0.38175753434380316,0.6964271152111546
2,2,243653,-0.22296097970859724,0.7013658148111606
2,3,243653,-0.14005336364804089,0.7046013394171502
2,4,243653,-0.07394515001741421,0.7074604819949155
2,5,243653,-0.01461159932349964,0.7103049701693576
2,6,243653,0.04299236801097678,0.7129811332777659
2,7,243653,0.10229085423098408,0.7168816554612306
2,8,243653,0.1680069509827443,0.7216714048560637
2,9,243652,0.2507305546903501,0.7278921243784673
2,10,243652,0.41059764361113626,0.7486340172324946
3,1,243653,-0.3758965787789651,0.7058459347198172
3,2,243653,-0.21821669721853604,0.7111266705971291
3,3,243653,-0.13657095893201057,0.7144444234144326
3,4,243653,-0.07168763800744389,0.7175162609271938
3,5,243653,-0.01345788648753761,0.7199013330139046
3,6,243653,0.042999915154489025,0.7230477583621505
3,7,243653,0.10108822001980974,0.7256722101106469
3,8,243653,0.1656431824124461,0.7306111913597074
3,9,243652,0.24703368902662812,0.7370364755305087
3,10,243652,0.4059825769991838,0.7568522528415191
4,1,243653,-0.37143354161126424,0.7130935703844188
4,2,243653,-0.21599303941020692,0.7160121495168222
4,3,243653,-0.1354516735533349,0.719468341435435
4,4,243653,-0.07151172514263804,0.7214966864415989
4,5,243653,-0.014165152449474012,0.7240823694983244
4,6,243653,0.04145159404052927,0.7266113572013676
4,7,243653,0.09879093505873587,0.7298412082199678
4,8,243653,0.16231931116623596,0.7341994473365854
4,9,243652,0.2426904693679824,0.7400488351556894
4,10,243652,0.3989377415567675,0.758806696286267
