fold,density,n_train_patients,n_eval_patients,n_channels,n_valid_profile_channels,profile_channel_coverage,n_graph_edges,n_valid_edges,mean_edge_weight,edge_semantic_similarity,matched_nonedge_semantic_similarity,edge_minus_matched_nonedge,matched_exact_stratum_rate,primary_permutation_effect_mean,primary_permutation_effect_sd,primary_permutation_p_fold,topology_edge_similarity_mean_secondary,topology_edge_similarity_sd_secondary,topology_edge_similarity_p_fold_secondary,topology_observed_edge_similarity_secondary,topology_successful_rewires,topology_failed_rewires,topology_mean_edge_change_fraction,pairwise_coupling_semantic_rho_descriptive,global_nmi,global_ari,n_communities,mean_profile_mass
0,0.05,26,14,24,24,1.0,14,14,0.949157509157509,0.9758247739201412,0.2506335892903762,0.725191184629765,1.0,-0.013331992776205559,0.12455666022906652,0.0196078431372549,0.47846829120777146,0.12478714867007028,0.047619047619047616,0.9758247739201412,20,0,0.7500000000000001,0.6641501443207773,0.6612123470721182,0.3972413793103448,12,0.9465165815454868
0,0.1,26,14,24,24,1.0,28,27,0.9403102247546692,0.9754126473217937,0.19582255309916935,0.7795900942226244,0.9642857142857143,-0.009122729487488733,0.10743820719547208,0.0196078431372549,0.4778797594967511,0.06562871969576226,0.047619047619047616,0.9748056883073125,20,0,0.7125,0.6641501443207773,0.82623465712856,0.7967871485943775,7,0.9465165815454868
1,0.05,27,13,24,24,1.0,14,14,0.9353305424733996,0.9840426369213157,0.4875918883050229,0.49645074861629274,1.0,0.010985692870221518,0.13839536607446085,0.0196078431372549,0.491216698116539,0.09728256494462514,0.047619047619047616,0.9840426369213157,20,0,0.7,0.551492474699607,0.625058785494144,0.30303030303030304,14,0.9380634914311924
1,0.1,27,13,24,24,1.0,28,27,0.927350427350427,0.9793383275129405,0.6304350461534557,0.3489032813594848,0.9642857142857143,0.010722656099247479,0.15917913534876774,0.0392156862745098,0.48758956616284277,0.06922676641759104,0.047619047619047616,0.9792289634690396,20,0,0.6875,0.551492474699607,0.7889742959390758,0.7251751133086115,8,0.9380634914311924
2,0.05,27,13,24,24,1.0,14,14,0.944662480376766,0.9838153968313399,0.4256420694481231,0.5581733273832168,1.0,0.002598098665411126,0.16679591238999458,0.0196078431372549,0.40406860570774583,0.09423161635604356,0.047619047619047616,0.9838153968313399,20,0,0.7571428571428572,0.7318951486669385,0.6457509181952347,0.3708854891052388,13,0.9377752298904284
2,0.1,27,13,24,24,1.0,28,27,0.9327997105774881,0.9798272092626893,0.24727678345247156,0.7325504258102178,0.9642857142857143,0.014441877297881614,0.11951874623934508,0.0196078431372549,0.45178804539413636,0.07230795376868525,0.047619047619047616,0.9800885534197207,20,0,0.7178571428571427,0.7318951486669385,0.8056851238248317,0.735632183908046,7,0.9377752298904284
