fold,coupling_bin,n_pairs,mean_coupling,mean_semantic_similarity
0,1,29453,-0.6507533930122545,0.6067497802655505
0,2,29453,-0.40711785484684454,0.6514318233522278
0,3,29453,-0.2590523949740283,0.6608795437312937
0,4,29453,-0.13914152022415582,0.6655411596737036
0,5,29453,-0.03113429233129466,0.6743365130673855
0,6,29453,0.07625538586338701,0.6776098521076592
0,7,29453,0.18994473652543928,0.6790596898829399
0,8,29453,0.3161849588112426,0.6808450840138877
0,9,29452,0.46904442237883215,0.6815405393811669
0,10,29452,0.6975269969262553,0.683941003037782
1,1,29453,-0.6620876377251583,0.6100330773136777
1,2,29453,-0.41732896067346736,0.654068647093987
1,3,29453,-0.2678903297224173,0.6629037698530059
1,4,29453,-0.14682696124731537,0.6701997680412753
1,5,29453,-0.03321840598529594,0.6760970481848526
1,6,29453,0.07976731187593869,0.6810608717487201
1,7,29453,0.19713750092703472,0.6814284711967453
1,8,29453,0.3247665963442951,0.6818863375982162
1,9,29452,0.47997363755751293,0.6816063654974549
1,10,29452,0.7095039980963223,0.6855818752216428
2,1,29453,-0.6560402972370478,0.606664862150396
2,2,29453,-0.41384617568007853,0.6470724613002253
2,3,29453,-0.2650181677872638,0.6544935790912468
2,4,29453,-0.14539914825028347,0.6579737018463239
2,5,29453,-0.03383517991185469,0.6670007399014071
2,6,29453,0.07689850133092138,0.670943718824494
2,7,29453,0.1932239882119167,0.6731062052237946
2,8,29453,0.32058489979276367,0.674460989929829
2,9,29452,0.4744013923346541,0.674433652858953
2,10,29452,0.7019230718491222,0.6788709961267073
3,1,29453,-0.6641695436386625,0.5868025712622806
3,2,29453,-0.42031393428906016,0.6372452896063064
3,3,29453,-0.2686413316986403,0.6490927079418023
3,4,29453,-0.14578688695956746,0.6558725408976817
3,5,29453,-0.03277580776743341,0.6638649856156612
3,6,29453,0.07959726201473004,0.6671838351700594
3,7,29453,0.19738929535084684,0.6688613606708456
3,8,29453,0.327112629075733,0.6700873550980928
3,9,29452,0.4838658512573794,0.6685270420203219
3,10,29452,0.7104130319317397,0.6686870938175755
4,1,29453,-0.6540794583857148,0.5978696104755136
4,2,29453,-0.41034323398333683,0.6454044800327814
4,3,29453,-0.2624157861191553,0.655683541746582
4,4,29453,-0.143436437480622,0.662867249699389
4,5,29453,-0.03310198581194391,0.668579014054141
4,6,29453,0.07627759020278221,0.6745430214104976
4,7,29453,0.19117752861185378,0.6762926852998737
4,8,29453,0.3172309218451202,0.6767145122295253
4,9,29452,0.4708387781459392,0.6761891950362675
4,10,29452,0.700872878772071,0.6787416700945769
