fold,density,n_train_patients,n_eval_patients,n_channels,n_valid_profile_channels,profile_channel_coverage,n_graph_edges,n_valid_edges,mean_edge_weight,edge_semantic_similarity,matched_nonedge_semantic_similarity,edge_minus_matched_nonedge,matched_exact_stratum_rate,primary_permutation_effect_mean,primary_permutation_effect_sd,primary_permutation_p_fold,topology_edge_similarity_mean_secondary,topology_edge_similarity_sd_secondary,topology_edge_similarity_p_fold_secondary,topology_observed_edge_similarity_secondary,topology_successful_rewires,topology_failed_rewires,topology_mean_edge_change_fraction,pairwise_coupling_semantic_rho_descriptive,global_nmi,global_ari,n_communities,mean_profile_mass
0,0.01,288,72,768,768,1.0,2946,2946,0.904672252898875,0.7727354287919022,0.6691763213070681,0.1035591074848341,1.0,8.389336782376367e-05,0.00895819149373521,0.000999000999000999,0.6987961076180369,0.002157783437694783,0.009900990099009901,0.7727354287919022,100,0,0.7076917854718262,0.09563536457459529,0.21695460038330436,0.025328998782063527,462,0.11549192754553324
0,0.025,288,72,768,768,1.0,7364,7364,0.8432766661185225,0.7625956534977842,0.6678034923607252,0.09479216113705902,1.0,0.0001629097870253625,0.0064784148220262275,0.000999000999000999,0.707508615894476,0.0013939666418341637,0.009900990099009901,0.7625956534977842,100,0,0.6731151548071702,0.09563536457459529,0.1797420386619623,0.040891331390700135,259,0.11549192754553324
0,0.05,288,72,768,768,1.0,14727,14727,0.7805411864603302,0.7558800399432403,0.6887706682950551,0.0671093716481852,1.0,-5.343120127298684e-05,0.005594771365651976,0.000999000999000999,0.7127183857649318,0.000860637019350994,0.009900990099009901,0.7558800399432403,100,0,0.6307190873905073,0.09563536457459529,0.12249686433556893,0.026399957924529604,125,0.11549192754553324
0,0.1,288,72,768,768,1.0,29453,29453,0.6975222949108266,0.7506400234727338,0.6945839609337671,0.05605606253896678,1.0,1.770843927660537e-05,0.005199205041897486,0.000999000999000999,0.7158811969911574,0.0005657366889371333,0.009900990099009901,0.7506400234727338,100,0,0.5950853902828236,0.09563536457459529,0.06417397919957622,0.010472790652057468,37,0.11549192754553324
1,0.01,288,72,768,768,1.0,2946,2946,0.911040674669507,0.7631178936084502,0.64961993009231,0.11349796351614017,1.0,-0.0004322523765783617,0.00896812608823134,0.000999000999000999,0.6872722664274272,0.0022721124452357356,0.009900990099009901,0.7631178936084502,100,0,0.7053021045485405,0.08899347850436362,0.21991690596236882,0.025079724708111838,469,0.1159075250692036
1,0.025,288,72,768,768,1.0,7364,7364,0.8529575197252721,0.7554120064874404,0.663399795510437,0.0920122109770034,1.0,2.2729060315157757e-05,0.006756920569151311,0.000999000999000999,0.6986268336481045,0.0014523877306655915,0.009900990099009901,0.7554120064874404,100,0,0.6701683867463335,0.08899347850436362,0.18509504866167265,0.04566369349067466,278,0.1159075250692036
1,0.05,288,72,768,768,1.0,14727,14727,0.7919520068668993,0.748374100623782,0.6817377648562879,0.06663633576749406,1.0,0.00010421073622754274,0.00583305354103903,0.000999000999000999,0.7050056675436573,0.0009237452192317947,0.009900990099009901,0.748374100623782,100,0,0.6241243973653833,0.08899347850436362,0.13001166859175012,0.02825267091992871,137,0.1159075250692036
1,0.1,288,72,768,768,1.0,29453,29453,0.7094992820300562,0.7441566208450187,0.6853713405546727,0.05878528029034591,1.0,4.452340829104207e-05,0.00547558706742622,0.000999000999000999,0.7095143356794015,0.0005476032443096765,0.009900990099009901,0.7441566208450187,100,0,0.5879543679760976,0.08899347850436362,0.06671175065441755,0.01428371047725454,39,0.1159075250692036
2,0.01,288,72,768,768,1.0,2946,2946,0.9081976928336948,0.7666176103588934,0.6657143646019078,0.10090324575698562,1.0,0.00013867024154051643,0.009356307126662338,0.000999000999000999,0.6977701166309472,0.0020939195617865657,0.009900990099009901,0.7666176103588934,100,0,0.7079192124915139,0.08541412584874719,0.220283410034962,0.028679736658898936,460,0.11620917844381477
2,0.025,288,72,768,768,1.0,7364,7364,0.8482609415397521,0.7619465057573332,0.671051338127918,0.0908951676294153,1.0,0.00011104254335428721,0.0067192039924492035,0.000999000999000999,0.7090412938375323,0.0016143358865884317,0.009900990099009901,0.7619465057573332,100,0,0.6690277023356869,0.08541412584874719,0.17743831157449574,0.04303031798993519,258,0.11620917844381477
