fold,coupling_bin,n_pairs,mean_coupling,mean_semantic_similarity
0,1,29453,-0.6507533930122545,0.6696483259989378
0,2,29453,-0.40711785484684454,0.7181685656780217
0,3,29453,-0.2590523949740283,0.7272024767794485
0,4,29453,-0.13914152022415582,0.7309113129820758
0,5,29453,-0.03113429233129466,0.7392193922363653
0,6,29453,0.07625538586338701,0.7411801859824991
0,7,29453,0.18994473652543928,0.7424529241550267
0,8,29453,0.3161849588112426,0.7441453797468909
0,9,29452,0.46904442237883215,0.7449314014023362
0,10,29452,0.6975269969262553,0.7506376252283414
1,1,29453,-0.6620876377251583,0.6655245679855019
1,2,29453,-0.41732896067346736,0.7141541637743385
1,3,29453,-0.2678903297224173,0.7227869171433374
1,4,29453,-0.14682696124731537,0.7294622658462798
1,5,29453,-0.03321840598529594,0.7348826736642171
1,6,29453,0.07976731187593869,0.739516453217204
1,7,29453,0.19713750092703472,0.739020556607269
1,8,29453,0.3247665963442951,0.7396452287566172
1,9,29452,0.47997363755751293,0.7385598071352271
1,10,29452,0.7095039980963223,0.7441501350153963
2,1,29453,-0.6560402972370478,0.67619199059666
2,2,29453,-0.41384617568007853,0.7203464794548111
2,3,29453,-0.2650181677872638,0.7264666399277903
2,4,29453,-0.14539914825028347,0.72920363921834
2,5,29453,-0.03383517991185469,0.7370538688495227
2,6,29453,0.07689850133092138,0.7390875769589301
2,7,29453,0.1932239882119167,0.7415136627997535
2,8,29453,0.32058489979276367,0.7419293200327771
2,9,29452,0.4744013923346541,0.7430228445474
2,10,29452,0.7019230718491222,0.7500094030538443
3,1,29453,-0.6641695436386625,0.6500322726984936
3,2,29453,-0.42031393428906016,0.7061645941760278
3,3,29453,-0.2686413316986403,0.7184505137688633
3,4,29453,-0.14578688695956746,0.7241983417990132
3,5,29453,-0.03277580776743341,0.7315963363303865
3,6,29453,0.07959726201473004,0.7335802342581046
3,7,29453,0.19738929535084684,0.7354205042688972
3,8,29453,0.327112629075733,0.7369471334892891
3,9,29452,0.4838658512573794,0.7353353186043761
3,10,29452,0.7104130319317397,0.7377525571705974
4,1,29453,-0.6540794583857148,0.6609087036099037
4,2,29453,-0.41034323398333683,0.7123563226130227
4,3,29453,-0.2624157861191553,0.7217057145244065
4,4,29453,-0.143436437480622,0.7285617033257549
4,5,29453,-0.03310198581194391,0.7333862699455794
4,6,29453,0.07627759020278221,0.7382932166237205
4,7,29453,0.19117752861185378,0.7399096737020531
4,8,29453,0.3172309218451202,0.7406428885052682
4,9,29452,0.4708387781459392,0.7405777142010694
4,10,29452,0.700872878772071,0.7447849341293907
