fold,coupling_bin,n_pairs,mean_coupling,mean_semantic_similarity
0,1,222922,-0.40528627792209176,0.7048126554587916
0,2,222922,-0.23268173480924242,0.7168537542747527
0,3,222922,-0.14695465271873345,0.7215911773522269
0,4,222922,-0.07992385919715385,0.7247559296454776
0,5,222922,-0.020516436952125086,0.7268069810052613
0,6,222922,0.03689107109442415,0.7295731163867829
0,7,222921,0.09628039712928778,0.7312162661488517
0,8,222921,0.16289893545553918,0.7341987221424517
0,9,222921,0.24853806310735674,0.7358327337041899
0,10,222921,0.4235754675015846,0.7394474430557858
1,1,222922,-0.4132056572279669,0.7033364126575473
1,2,222922,-0.23727309440870634,0.7179344357161074
1,3,222922,-0.15005404719670934,0.7227926640832312
1,4,222922,-0.08190186618177107,0.7265817056047794
1,5,222922,-0.021171769575430776,0.7286018660001987
1,6,222922,0.03741642120548765,0.7313474248396167
1,7,222921,0.09807826078625735,0.7331197592645168
1,8,222921,0.16614764996367135,0.7352769733264649
1,9,222921,0.2536096316413144,0.7370222875180463
1,10,222921,0.43256558451773436,0.7383961712065402
2,1,222922,-0.412370533663659,0.7035257450074407
2,2,222922,-0.2377850399974085,0.7149406015550177
2,3,222922,-0.15049340059756228,0.719649134607861
2,4,222922,-0.08215818488991782,0.7227268187604997
2,5,222922,-0.02122363219437528,0.7245137410227223
2,6,222922,0.03757832251294992,0.727417623193905
2,7,222921,0.09852686557181513,0.7290482389903339
2,8,222921,0.16671292401277799,0.7316451369076282
2,9,222921,0.25412696335412915,0.7328553354372854
2,10,222921,0.431711236181179,0.7354998173117909
3,1,222922,-0.41191662607446256,0.7028666807627082
3,2,222922,-0.23673674696158942,0.7186010090622548
3,3,222922,-0.14996004490600567,0.7240184692261504
3,4,222922,-0.08223744125504845,0.7271085300073349
3,5,222922,-0.02198671582259123,0.7297164652632356
3,6,222922,0.035974744807910734,0.7321349540457855
3,7,222921,0.09609229629186863,0.7341640905500533
3,8,222921,0.16384515744374858,0.7359160362476086
3,9,222921,0.25107412409638546,0.7380260284367638
3,10,222921,0.4298815638699038,0.7397779278671262
4,1,222922,-0.40607971209334887,0.7014650054617461
4,2,222922,-0.2333331468121033,0.7160406917572633
4,3,222922,-0.14782769938847917,0.721168812563821
4,4,222922,-0.08081500659198042,0.7246208577500968
4,5,222922,-0.021268457191019826,0.7273519177903216
4,6,222922,0.03617411600763426,0.7294019019742405
4,7,222921,0.09570927512455486,0.7312135702107047
4,8,222921,0.16263903207603894,0.7333324458223179
4,9,222921,0.24866288880677034,0.7347387214427012
4,10,222921,0.42520399406727755,0.7367280134047953
