fold,density,n_train_patients,n_eval_patients,n_channels,n_valid_profile_channels,profile_channel_coverage,n_graph_edges,n_valid_edges,mean_edge_weight,edge_semantic_similarity,matched_nonedge_semantic_similarity,edge_minus_matched_nonedge,matched_exact_stratum_rate,primary_permutation_effect_mean,primary_permutation_effect_sd,primary_permutation_p_fold,topology_edge_similarity_mean_secondary,topology_edge_similarity_sd_secondary,topology_edge_similarity_p_fold_secondary,topology_observed_edge_similarity_secondary,topology_successful_rewires,topology_failed_rewires,topology_mean_edge_change_fraction,pairwise_coupling_semantic_rho_descriptive,global_nmi,global_ari,n_communities,mean_profile_mass
0,0.01,288,72,384,363,0.9453125,736,736,0.9502518643726627,0.7990484280770033,0.5996075020916906,0.1994409259853127,1.0,0.00013588772830703578,0.01373467705869042,0.000999000999000999,0.6651698897317009,0.005734348973877039,0.009900990099009901,0.7990484280770033,100,0,0.7459646739130436,0.23589508195596579,0.2847417824830368,0.05160906284571404,200,0.10279197752720491
0,0.025,288,72,384,363,0.9453125,1839,1839,0.9192629644706748,0.78294306326214,0.6037461294330086,0.17919693382913138,1.0,0.00028134636169790527,0.011341625604155331,0.000999000999000999,0.6809063270176838,0.003183707463307805,0.009900990099009901,0.78294306326214,100,0,0.6712071778140293,0.23589508195596579,0.2674482382433868,0.07030855066337578,133,0.10279197752720491
0,0.05,288,72,384,363,0.9453125,3677,3677,0.8798730964366158,0.7667220206563254,0.6043472895962333,0.16237473106009215,1.0,-0.0001152259444947531,0.0090039937808963,0.000999000999000999,0.679755953287041,0.002407111949542948,0.009900990099009901,0.7667220206563254,100,0,0.6286891487625781,0.23589508195596579,0.2248129008258408,0.10788037180793376,75,0.10279197752720491
0,0.1,288,72,384,363,0.9453125,7354,7354,0.8158917504006244,0.7491144475661411,0.6617190124081818,0.08739543515795933,1.0,-8.896478419585174e-05,0.008758696826491707,0.000999000999000999,0.6755487359371698,0.0015037037637784438,0.009900990099009901,0.7491144475661411,100,0,0.5913421267337503,0.23589508195596579,0.1925776643566467,0.1928421894157507,27,0.10279197752720491
1,0.01,288,72,384,363,0.9453125,736,736,0.9525220234840865,0.7954916363791036,0.6090239167218823,0.1864677196572213,1.0,-0.0006401342595607872,0.013102030150454802,0.000999000999000999,0.6590735211597516,0.006341020755110102,0.009900990099009901,0.7954916363791036,100,0,0.7543478260869567,0.21994458962728314,0.2807103436290595,0.045436454658475976,196,0.10348079124200152
1,0.025,288,72,384,363,0.9453125,1839,1839,0.9229621268546524,0.7773709721757249,0.6014801627982101,0.17589080937751478,1.0,0.00012205121534801556,0.011027097904611717,0.000999000999000999,0.6731742670639252,0.0029925948511205116,0.009900990099009901,0.7773709721757249,100,0,0.6788471995649809,0.21994458962728314,0.2663727385074715,0.07413794643480633,129,0.10348079124200152
1,0.05,288,72,384,363,0.9453125,3677,3677,0.8852380282864238,0.7607581331681894,0.611368439826351,0.14938969334183838,1.0,-0.00016227870805753453,0.009567626227575534,0.000999000999000999,0.6745794287583482,0.002187692052371253,0.009900990099009901,0.7607581331681894,100,0,0.625504487353821,0.21994458962728314,0.24174319486016677,0.13002928043143594,78,0.10348079124200152
1,0.1,288,72,384,363,0.9453125,7354,7354,0.8230530549539938,0.7444257994883593,0.6540121574531309,0.09041364203522839,1.0,0.00020159888117134871,0.008832888877100774,0.000999000999000999,0.6726017268681644,0.0014498679843344517,0.009900990099009901,0.7444257994883593,100,0,0.5923864563502855,0.21994458962728314,0.1757357858024332,0.1440387361822739,30,0.10348079124200152
2,0.01,288,72,384,363,0.9453125,736,736,0.9495879596770405,0.7941704427972865,0.6061237904776305,0.188046652319656,1.0,-0.0004888159972253992,0.012344351263211789,0.000999000999000999,0.6634188879726505,0.0057809781369920895,0.009900990099009901,0.7941704427972865,100,0,0.7505163043478258,0.21321541281338285,0.27921868162417757,0.04582936952664013,195,0.1031243430020823
2,0.025,288,72,384,363,0.9453125,1839,1839,0.9188333766352912,0.7794168829005559,0.6215110321566821,0.15790585074387375,1.0,0.00014904821477136355,0.01094247571065414,0.000999000999000999,0.6795449326518874,0.0032377086894113784,0.009900990099009901,0.7794168829005559,100,0,0.6743012506797172,0.21321541281338285,0.2636170125745144,0.0783129460983213,124,0.1031243430020823
2,0.05,288,72,384,363,0.9453125,3677,3677,0.8794349939530584,0.7646700017706136,0.6152406036226024,0.14942939814801126,1.0,0.0002637168016473167,0.009192090402108131,0.000999000999000999,0.6793910941216843,0.002123039328747563,0.009900990099009901,0.7646700017706136,100,0,0.6288387272232798,0.21321541281338285,0.24777607871266205,0.1360589505579771,73,0.1031243430020823
2,0.1,288,72,384,363,0.9453125,7354,7354,0.8154742830809963,0.747823837728885,0.6561950028479157,0.0916288348809694,1.0,-0.00034068544281739345,0.008546721632828321,0.000999000999000999,0.6775209969017958,0.001461548287968281,0.009900990099009901,0.747823837728885,100,0,0.5956962197443568,0.21321541281338285,0.1949809326592538,0.17976044416410025,24,0.1031243430020823
3,0.01,288,72,384,363,0.9453125,736,736,0.952716417169583,0.7941429776665154,0.5679615401466689,0.22618143751984654,1.0,0.00011028248918252592,0.013422904261810075,0.000999000999000999,0.6512854961718126,0.007382019057533691,0.009900990099009901,0.7941429776665154,100,0,0.7511956521739132,0.2403272659470504,0.28511608604394073,0.054927948327172293,200,0.10355113933694542
3,0.025,288,72,384,363,0.9453125,1839,1839,0.9236210759509137,0.774215178655133,0.591027610756583,0.18318756789854995,1.0,-0.00032496255021090926,0.01150287536762508,0.000999000999000999,0.6680812613809539,0.0033429155328486603,0.009900990099009901,0.774215178655133,100,0,0.6715334420880914,0.2403272659470504,0.2671743208101544,0.07760536498982512,135,0.10355113933694542
3,0.05,288,72,384,363,0.9453125,3677,3677,0.8864715461552092,0.7585457830733213,0.5954811987690367,0.1630645843042846,1.0,0.00011096976045935769,0.009387112310272179,0.000999000999000999,0.6660927482444166,0.002247564189656524,0.009900990099009901,0.7585457830733213,100,0,0.6252134892575469,0.2403272659470504,0.23909461812220495,0.10744485145359885,81,0.10355113933694542
3,0.1,288,72,384,363,0.9453125,7354,7354,0.8257330069088286,0.7427913997475382,0.6391787500858772,0.10361264966166095,1.0,-2.5023787799681173e-05,0.009052650157584025,0.000999000999000999,0.6647914099495007,0.0013756095793734018,0.009900990099009901,0.7427913997475382,100,0,0.5804378569485994,0.2403272659470504,0.20493062828880712,0.18149387261993383,30,0.10355113933694542
4,0.01,288,72,384,363,0.9453125,736,736,0.9515536040438219,0.7961871711647126,0.5987994114961855,0.19738775966852706,1.0,0.00039861374654301726,0.012986512858942534,0.000999000999000999,0.6605606654484731,0.0061081453644736316,0.009900990099009901,0.7961871711647126,100,0,0.7551222826086956,0.23492845447474486,0.28194659764057783,0.05123266261642902,201,0.10387957127299795
4,0.025,288,72,384,363,0.9453125,1839,1839,0.9214571161300922,0.7805447146709206,0.6013769866291517,0.17916772804176884,1.0,-1.2564643407091847e-05,0.010465549085389539,0.000999000999000999,0.6766419993439525,0.0028723388456296174,0.009900990099009901,0.7805447146709206,100,0,0.686721044045677,0.23492845447474486,0.26111407615057625,0.06858289591057172,128,0.10387957127299795
4,0.05,288,72,384,363,0.9453125,3677,3677,0.882802816461349,0.7653584812091441,0.6080882067787473,0.15727027443039676,1.0,-0.0002551481466453798,0.00934042371125935,0.000999000999000999,0.6754770594829956,0.0022501334370338493,0.009900990099009901,0.7653584812091441,100,0,0.6385259722599945,0.23492845447474486,0.24459030233110474,0.11730755427143562,79,0.10387957127299795
4,0.1,288,72,384,363,0.9453125,7354,7354,0.819813977919307,0.7504129173639068,0.6539589689435565,0.09645394842035027,1.0,0.00046969353073888945,0.008226900227041247,0.000999000999000999,0.6750266824850462,0.0015637929389716338,0.009900990099009901,0.7504129173639068,100,0,0.5962822953494696,0.23492845447474486,0.18486810357041977,0.17033217313098392,26,0.10387957127299795
