fold,coupling_bin,n_pairs,mean_coupling,mean_semantic_similarity
0,1,220186,-0.3499531625861573,0.6966134624457702
0,2,220185,-0.19966516850757654,0.7085578754751418
0,3,220185,-0.123467426305763,0.7115164932352465
0,4,220185,-0.06412594355822986,0.7141999883252318
0,5,220185,-0.011498909824925312,0.7151402335236152
0,6,220185,0.039212657866179675,0.7157055346110341
0,7,220185,0.09181745558052526,0.7161443093868026
0,8,220185,0.15101536080492503,0.7155946855609061
0,9,220185,0.22698170391163588,0.7153971139465702
0,10,220185,0.3776192211227566,0.7098481818788187
1,1,219976,-0.35473308011001214,0.6860520885661955
1,2,219976,-0.20173474098079905,0.6985942993220744
1,3,219976,-0.12450764501963024,0.7022746306657911
1,4,219975,-0.06438107638949699,0.7048513256568534
1,5,219975,-0.011213661000504797,0.7070017399420938
1,6,219975,0.04023384326357899,0.7078407147167484
1,7,219975,0.09350874300969586,0.7075605902177431
1,8,219975,0.1534892898594889,0.7073221320414287
1,9,219975,0.2306563294537048,0.7056843124788624
1,10,219975,0.384571149256268,0.6994536011679291
2,1,220395,-0.35404601493268545,0.6843374861290782
2,2,220395,-0.20092665575044674,0.6993733038295106
2,3,220395,-0.12391896255459933,0.7038328685846466
2,4,220395,-0.0640069471797654,0.7068670210268532
2,5,220395,-0.011005143849573736,0.7084693835796315
2,6,220395,0.040249812358893244,0.7086745783152902
2,7,220395,0.0930930255477967,0.709752777494411
2,8,220395,0.1527962233117083,0.7085199007255225
2,9,220395,0.2294434304445943,0.7072840868271228
2,10,220395,0.3820899314294959,0.6990230816762112
3,1,219766,-0.35441549153083446,0.6871179577811698
3,2,219766,-0.20068223903795246,0.6983864654767076
3,3,219766,-0.12334636263550701,0.7020511643525075
3,4,219766,-0.06326510161265927,0.7038734300972939
3,5,219766,-0.010098359831472647,0.7052420402610582
3,6,219766,0.041128117019843737,0.705829683105552
3,7,219765,0.0942343280410039,0.7065017991420948
3,8,219765,0.1540697545765929,0.7062574250501685
3,9,219765,0.2308824298733811,0.7056141871730376
3,10,219765,0.38384855124276257,0.7004103462278192
4,1,220186,-0.3488663257743458,0.6888782483684464
4,2,220185,-0.1977295221854394,0.698824852617479
4,3,220185,-0.12159600892440395,0.7025755388844913
4,4,220185,-0.06221896339290768,0.7044294264169925
4,5,220185,-0.009620821892489263,0.7061293419596951
4,6,220185,0.04109886635455028,0.7080654115060476
4,7,220185,0.09367612193232656,0.7082536596333587
4,8,220185,0.1527490334477658,0.7087981381833875
4,9,220185,0.22853756042223747,0.709452378542623
4,10,220185,0.37876998051459176,0.704418069228899
