fold,density,n_train_patients,n_eval_patients,n_channels,n_valid_profile_channels,profile_channel_coverage,n_graph_edges,n_valid_edges,mean_edge_weight,edge_semantic_similarity,matched_nonedge_semantic_similarity,edge_minus_matched_nonedge,matched_exact_stratum_rate,primary_permutation_effect_mean,primary_permutation_effect_sd,primary_permutation_p_fold,topology_edge_similarity_mean_secondary,topology_edge_similarity_sd_secondary,topology_edge_similarity_p_fold_secondary,topology_observed_edge_similarity_secondary,topology_successful_rewires,topology_failed_rewires,topology_mean_edge_change_fraction,pairwise_coupling_semantic_rho_descriptive,global_nmi,global_ari,n_communities,mean_profile_mass
0,0.01,288,72,2112,2099,0.993844696969697,22293,21809,0.5741595527644227,0.7027810145780216,0.6884759391141998,0.01430507546382176,1.0,1.609012428152623e-05,0.0038073477409019413,0.000999000999000999,0.6867754090124362,0.0008527344180087985,0.009900990099009901,0.7027810145780216,100,0,0.7987743592095008,0.018250645567356633,0.0977203877093115,-0.0015732914234055642,444,0.04988631782152327
0,0.025,288,72,2112,2099,0.993844696969697,55731,54653,0.5035826594859169,0.704934571893589,0.6930162142450527,0.011918357648536326,1.0,-1.4452878627534415e-05,0.002492708712661134,0.000999000999000999,0.6939290131417242,0.0004895026715415728,0.009900990099009901,0.704934571893589,100,0,0.7852652187437105,0.018250645567356633,0.03345091493457229,0.0007719347978836059,108,0.04988631782152327
0,0.05,288,72,2112,2099,0.993844696969697,111461,109631,0.44398304129201527,0.7069377096399735,0.6995440883822521,0.007393621257721361,1.0,-7.855188402190772e-05,0.0017561882507129594,0.000999000999000999,0.6992114601487432,0.00033772797811350026,0.009900990099009901,0.7069377096399735,100,0,0.7719108646277055,0.018250645567356633,0.010792189978090422,7.177313220637968e-05,21,0.04988631782152327
0,0.1,288,72,2112,2099,0.993844696969697,222922,219680,0.3778511145338584,0.7098432835254058,0.7030772381870726,0.006766045338333249,1.0,2.9710899252558988e-05,0.001115977255461148,0.000999000999000999,0.7038254473401195,0.00022440100453465173,0.009900990099009901,0.7098432835254058,100,0,0.7482356609613983,0.018250645567356633,0.0037900104467982134,0.0011092697422848317,5,0.04988631782152327
1,0.01,288,72,2112,2098,0.9933712121212122,22293,21945,0.583397775600141,0.6903388069109838,0.6743600031234774,0.01597880378750638,1.0,-7.440776197327759e-05,0.004226296325388438,0.000999000999000999,0.6729313607258822,0.0008650470390101947,0.009900990099009901,0.6903388069109838,100,0,0.7877288676236044,0.01841685567145698,0.10768215557179585,-0.0015915778904795688,491,0.0527561584365143
1,0.025,288,72,2112,2098,0.9933712121212122,55731,54873,0.5126022196756966,0.6929258301406296,0.681771324367036,0.01115450577359356,1.0,-7.323123489246097e-05,0.002649563944259356,0.000999000999000999,0.6815570146349768,0.0004956749565615593,0.009900990099009901,0.6929258301406296,100,0,0.7738795035809961,0.01841685567145698,0.0483300048083046,-0.005535438415470933,146,0.0527561584365143
1,0.05,288,72,2112,2098,0.9933712121212122,111461,109792,0.45225909180725116,0.6961266827908816,0.686338609672634,0.009788073118247587,1.0,2.966765842156971e-05,0.001806767068467728,0.000999000999000999,0.6875012168725576,0.00037637190452985484,0.009900990099009901,0.6961266827908816,100,0,0.7619520547945204,0.01841685567145698,0.013476062186514119,-0.0034341274450150486,26,0.0527561584365143
1,0.1,288,72,2112,2098,0.9933712121212122,222922,219806,0.38465059939102186,0.6994592245641402,0.690475554026485,0.008983670537655253,1.0,4.216213562015625e-06,0.0011645464884809647,0.000999000999000999,0.6931375117875621,0.00023775066803354784,0.009900990099009901,0.6994592245641402,100,0,0.7417369407568494,0.01841685567145698,0.0033100412759243143,0.0022373942289098695,4,0.0527561584365143
2,0.01,288,72,2112,2100,0.9943181818181818,22293,22058,0.5798973772696145,0.6876998948283725,0.6781828287667894,0.00951706606158309,1.0,7.796823031515776e-05,0.004043552528283446,0.00999000999000999,0.6717778442432315,0.0008396349502901043,0.009900990099009901,0.6876998948283725,100,0,0.7895185420255687,0.020425160334006025,0.1029738069024514,-0.0018129222834708564,485,0.05225012164727862
2,0.025,288,72,2112,2100,0.9943181818181818,55731,55099,0.5090395449013166,0.6915934311443708,0.6811142206093626,0.010479210535008221,1.0,4.468970131547789e-05,0.0026527677238321946,0.000999000999000999,0.680423537396008,0.00045568221159105767,0.009900990099009901,0.6915934311443708,100,0,0.7769509428483277,0.020425160334006025,0.04126133836203736,-0.002389805017532378,132,0.05225012164727862
2,0.05,288,72,2112,2100,0.9943181818181818,111461,110240,0.4489754085863267,0.6949482263702991,0.6862568240707183,0.008691402299580764,1.0,2.3620958118761193e-05,0.0018301397323629638,0.000999000999000999,0.6866379895159573,0.0003281670756573998,0.009900990099009901,0.6949482263702991,100,0,0.7646967525399129,0.020425160334006025,0.009801352683325472,-0.0003172529294876407,23,0.05225012164727862
2,0.1,288,72,2112,2100,0.9943181818181818,222922,220507,0.3820378442172445,0.6990300984778931,0.6918521220985339,0.007177976379359241,1.0,-3.9600928552154805e-06,0.0011538993362135038,0.000999000999000999,0.6927177003778546,0.0002470897951995896,0.009900990099009901,0.6990300984778931,100,0,0.7435343095684037,0.020425160334006025,0.0026547711195831878,0.0011420081351500996,4,0.05225012164727862
3,0.01,288,72,2112,2097,0.9928977272727273,22293,21896,0.582377525109236,0.6964242313262501,0.6825455616989308,0.013878669627319318,1.0,2.5027891468266895e-05,0.004194840203554981,0.000999000999000999,0.6816983272766527,0.0007162225763613208,0.009900990099009901,0.6964242313262501,100,0,0.7871729996346365,0.0182549980167094,0.10288951640222098,-0.0013486817501203604,469,0.04900832255225299
3,0.025,288,72,2112,2097,0.9928977272727273,55731,54864,0.5113537685386433,0.6966462759419269,0.6834496734451293,0.01319660249679755,1.0,-0.00019910036955954414,0.002721700417199446,0.000999000999000999,0.6869570229970735,0.0005518865006603357,0.009900990099009901,0.6966462759419269,100,0,0.7725842082239719,0.0182549980167094,0.043918426711147214,-0.002161250059128382,133,0.04900832255225299
3,0.05,288,72,2112,2097,0.9928977272727273,111461,109884,0.451008474204772,0.6973876522166171,0.6878664435595826,0.009521208657034541,1.0,5.866853000907113e-05,0.0019012785161173498,0.000999000999000999,0.6904213654240534,0.00037388990997560363,0.009900990099009901,0.6973876522166171,100,0,0.7615767536675038,0.0182549980167094,0.011807980710879544,0.003605943723529625,23,0.04900832255225299
3,0.1,288,72,2112,2097,0.9928977272727273,222922,219906,0.38378265263312067,0.7004115896290947,0.6925087019418296,0.007902887687265103,1.0,3.08537516860381e-05,0.0012336091591050994,0.000999000999000999,0.6948571242989418,0.0002418823740578675,0.009900990099009901,0.7004115896290947,100,0,0.7413649923148982,0.0182549980167094,0.0019581514846715147,0.0017176612912946818,4,0.04900832255225299
4,0.01,288,72,2112,2099,0.993844696969697,22293,22084,0.5746764221535502,0.6948203125187007,0.6859016029858476,0.00891870953285312,1.0,7.783690697649459e-05,0.003915603110846102,0.013986013986013986,0.679871838151011,0.000829892768157625,0.009900990099009901,0.6948203125187007,100,0,0.7968302843687737,0.023335287052719242,0.09578747519652231,-0.0036234578613026404,439,0.04871249396719635
4,0.025,288,72,2112,2099,0.993844696969697,55731,55119,0.504186206248033,0.6989567842140522,0.6907385950381125,0.008218189175939639,1.0,0.00013776417924752548,0.002617690755825901,0.000999000999000999,0.688436951543826,0.0004600213586968733,0.009900990099009901,0.6989567842140522,100,0,0.7827016092454505,0.023335287052719242,0.04011177262970843,0.0017059269813124171,121,0.04871249396719635
4,0.05,288,72,2112,2099,0.993844696969697,111461,110196,0.4446170281417357,0.7017058147831416,0.6956724914838072,0.006033323299334481,1.0,-0.00014300457624343355,0.0017576797210204379,0.000999000999000999,0.693639198382053,0.00034035669906819856,0.009900990099009901,0.7017058147831416,100,0,0.7702230570982614,0.023335287052719242,0.009638979369217437,-0.00235211779324265,18,0.04871249396719635
4,0.1,288,72,2112,2099,0.993844696969697,222922,220275,0.37872879839510243,0.7044162272211117,0.6994993688399995,0.004916858381112221,1.0,4.564928976608795e-05,0.0011745832643433964,0.000999000999000999,0.6981963750109166,0.0002845154468602976,0.009900990099009901,0.7044162272211117,100,0,0.7468467597321529,0.023335287052719242,0.004378111958530113,-0.0034337530768685865,4,0.04871249396719635
