fold,coupling_bin,n_pairs,mean_coupling,mean_semantic_similarity
0,1,243653,-0.3696185228975212,0.5955445948967917
0,2,243653,-0.2156994661088506,0.598248646956506
0,3,243653,-0.1354088470982164,0.6020360727420347
0,4,243653,-0.07154746746743854,0.6049183378430949
0,5,243653,-0.014178052744178172,0.608474141450942
0,6,243653,0.041520084927175946,0.6119489457088506
0,7,243653,0.09898634410901526,0.6153139643101052
0,8,243653,0.16264319806885427,0.6212048211747534
0,9,243652,0.2429387591704544,0.6290685870708127
0,10,243652,0.3987201096399969,0.6520493949995828
1,1,243653,-0.3749545307848422,0.6042593058363518
1,2,243653,-0.2193183227796674,0.6061754180817492
1,3,243653,-0.13785799217787695,0.6090986877539848
1,4,243653,-0.07293587201144536,0.6127608423031917
1,5,243653,-0.014600401524987932,0.6158672559202338
1,6,243653,0.04182128279224877,0.6191001783356104
1,7,243653,0.10002537655278178,0.6227678132964375
1,8,243653,0.164574417945897,0.6277808303570822
1,9,243652,0.24580837418781695,0.6345048473556194
1,10,243652,0.4025824792795249,0.6563964655147128
2,1,243653,-0.38175753434380316,0.5850273686508226
2,2,243653,-0.22296097970859724,0.5872699929046645
2,3,243653,-0.14005336364804089,0.5904428217013707
2,4,243653,-0.07394515001741421,0.5939188941395958
2,5,243653,-0.01461159932349964,0.5970347067946102
2,6,243653,0.04299236801097678,0.6001019430347819
2,7,243653,0.10229085423098408,0.6043305090439357
2,8,243653,0.1680069509827443,0.609551317547279
2,9,243652,0.2507305546903501,0.6165871717626044
2,10,243652,0.41059764361113626,0.6396672187754303
3,1,243653,-0.3758965787789651,0.5924372594829274
3,2,243653,-0.21821669721853604,0.5949194430824518
3,3,243653,-0.13657095893201057,0.5982311524849978
3,4,243653,-0.07168763800744389,0.6017046843217564
3,5,243653,-0.01345788648753761,0.6044495132491414
3,6,243653,0.042999915154489025,0.6077776793538985
3,7,243653,0.10108822001980974,0.6113960726838807
3,8,243653,0.1656431824124461,0.6165800661416532
3,9,243652,0.24703368902662812,0.6239019851170967
3,10,243652,0.4059825769991838,0.6459776573976643
4,1,243653,-0.37143354161126424,0.6024797523540748
4,2,243653,-0.21599303941020692,0.6040489614047928
4,3,243653,-0.1354516735533349,0.6074851449327543
4,4,243653,-0.07151172514263804,0.6100787588730499
4,5,243653,-0.014165152449474012,0.6131489051582962
4,6,243653,0.04145159404052927,0.6163495815390428
4,7,243653,0.09879093505873587,0.6198615939426396
4,8,243653,0.16231931116623596,0.6242222532566946
4,9,243652,0.2426904693679824,0.6312089871216928
4,10,243652,0.3989377415567675,0.6520906423972295
