fold,density,n_train_patients,n_eval_patients,n_channels,n_valid_profile_channels,profile_channel_coverage,n_graph_edges,n_valid_edges,mean_edge_weight,edge_semantic_similarity,matched_nonedge_semantic_similarity,edge_minus_matched_nonedge,matched_exact_stratum_rate,primary_permutation_effect_mean,primary_permutation_effect_sd,primary_permutation_p_fold,topology_edge_similarity_mean_secondary,topology_edge_similarity_sd_secondary,topology_edge_similarity_p_fold_secondary,topology_observed_edge_similarity_secondary,topology_successful_rewires,topology_failed_rewires,topology_mean_edge_change_fraction,pairwise_coupling_semantic_rho_descriptive,global_nmi,global_ari,n_communities,mean_profile_mass
0,0.05,26,14,24,24,1.0,14,14,0.4014652014652014,0.36785603917980836,0.48314125103319244,-0.11528521185338408,1.0,-0.024819296377008544,0.14975415774614717,0.5686274509803921,0.3561706063274521,0.08919305068188947,0.5714285714285714,0.36785603917980836,20,0,0.6285714285714284,-0.003331861226197125,0.35741985136035426,-0.0038369304556354917,14,0.9465165815454868
0,0.1,26,14,24,24,1.0,28,25,0.3495521367521367,0.4681493472735366,0.22807560673304106,0.24007374054049552,0.8928571428571429,-0.0035696909724397753,0.14471264898209715,0.058823529411764705,0.3961386997963824,0.06693245099314565,0.09523809523809523,0.46160930476551243,20,0,0.7267857142857141,-0.003331861226197125,0.2607911790562951,0.04806408544726302,8,0.9465165815454868
1,0.05,27,13,24,24,1.0,14,14,0.4137013779870922,0.30774081756622823,0.2491968585906789,0.05854395897554934,1.0,0.0035046704971578736,0.18396768262301846,0.37254901960784315,0.3303000753152906,0.09380759314147205,0.5714285714285714,0.30774081756622823,20,0,0.7214285714285713,-0.026710535928735925,0.3451774377134645,-0.025899280575539568,14,0.9380634914311924
1,0.1,27,13,24,24,1.0,28,27,0.367566589788812,0.2813502717761136,0.2212847586096943,0.06006551316641931,0.9642857142857143,-0.005882314868660773,0.14135154077105236,0.3333333333333333,0.3739541234511918,0.053014742531479864,0.8571428571428571,0.3060811448803187,20,0,0.675,-0.026710535928735925,0.27233069235355223,-0.023614895549500452,10,0.9380634914311924
2,0.05,27,13,24,24,1.0,14,13,0.4446322907861368,0.31389744535871017,0.5147006380456374,-0.2008031926869272,0.9285714285714286,-0.023996689483937565,0.1817622397717578,0.8235294117647058,0.360930293790302,0.11922182858301829,0.47619047619047616,0.3620573149653251,20,0,0.7,-0.05382491356781198,0.34726225683412354,0.006572769953051643,14,0.9377752298904284
2,0.1,27,13,24,24,1.0,28,24,0.38153744403744394,0.3676667845545049,0.3322043970676129,0.03546238748689201,0.8571428571428571,0.0025249968480933727,0.12045319581334156,0.39215686274509803,0.39553493526071565,0.07579719453758554,0.7619047619047619,0.3325001665798917,20,0,0.7160714285714285,-0.05382491356781198,0.1706800602332261,-0.051890941072999124,8,0.9377752298904284
