fold,coupling_bin,n_pairs,mean_coupling,mean_semantic_similarity
0,1,28,-0.36058608058608055,0.46278275383180906
0,2,28,-0.221050061050061,0.3406505996682315
0,3,28,-0.14351648351648352,0.45956447645197196
0,4,28,-0.08503052503052502,0.3712220943661345
0,5,28,-0.03255189255189255,0.3408694354640713
0,6,28,0.008473748473748472,0.2746110080035347
0,7,27,0.07849319404874959,0.4444461987649724
0,8,27,0.13868945868945867,0.34899859943529576
0,9,27,0.21397910731244063,0.3483079557841791
0,10,27,0.34878125989237097,0.4738184831775611
1,1,28,-0.30695098552241395,0.428835610676143
1,2,28,-0.1923294959009245,0.21113965615831654
1,3,28,-0.1383874062445491,0.42697408130446624
1,4,28,-0.07007674864817721,0.5799750291005231
1,5,28,-0.01114163614163614,0.4587171710771907
1,6,28,0.043432757718472,0.3947349688182791
1,7,27,0.100574322796545,0.40866457238866355
1,8,27,0.17078189300411525,0.24763752873828937
1,9,27,0.2365576810021254,0.34402848712502515
1,10,27,0.37000859223081445,0.31267112390704704
2,1,28,-0.3540031397174254,0.3647648616288143
2,2,28,-0.19808564451421593,0.4249952833296051
2,3,28,-0.13454997383568812,0.39697044349794924
2,4,28,-0.06874672946101516,0.3673984430890914
2,5,28,-0.000675911390197108,0.30705598974600257
2,6,28,0.05579539508110936,0.36809034192773377
2,7,27,0.1066793289015511,0.5301594655007819
2,8,27,0.15547415547415544,0.4046791471235365
2,9,27,0.2490616379505268,0.3084272816571766
2,10,27,0.39515217292995064,0.3407779758799226
