fold,coupling_bin,n_pairs,mean_coupling,mean_semantic_similarity
0,1,28767,-0.5411879282405659,0.7106525886612572
0,2,28766,-0.3099622672658863,0.737939380600703
0,3,28766,-0.18163357593547347,0.7417676857778417
0,4,28766,-0.08025486550277328,0.7458835694898256
0,5,28766,0.010330473661917677,0.7453383942140215
0,6,28766,0.09836415128525054,0.743692643017825
0,7,28766,0.19049127903604332,0.7434105644413651
0,8,28766,0.2933728005660655,0.7371234062657052
0,9,28766,0.4197945295085194,0.7283948882333094
0,10,28766,0.6230217291978085,0.7066362341828482
1,1,28995,-0.5430247552677334,0.6948683511907432
1,2,28994,-0.31190706109600225,0.7264768837049643
1,3,28994,-0.18324454506417157,0.7322211784170036
1,4,28994,-0.08152600075129135,0.7346158983217203
1,5,28994,0.008977701332866064,0.733732334918694
1,6,28994,0.09720155640218978,0.7329788465997307
1,7,28994,0.19115588980888282,0.7315918827741231
1,8,28994,0.2952788358448356,0.725434734464988
1,9,28994,0.4220113501226535,0.7152934200191573
1,10,28994,0.6250667250475382,0.6884567259770481
2,1,28918,-0.5477683291294828,0.7025931398264391
2,2,28918,-0.31547476779326417,0.7334781074337287
2,3,28918,-0.185256081090848,0.7393978672766904
2,4,28918,-0.08226049709143791,0.741852099308146
2,5,28918,0.009322211283158377,0.7417782727966193
2,6,28918,0.09844058444175939,0.7411436792777936
2,7,28918,0.19255243225852461,0.736886041055551
2,8,28918,0.29760668409689484,0.7322093796132226
2,9,28918,0.4246317349608853,0.7201250276682049
2,10,28918,0.6284421744219256,0.6961253965425659
3,1,28691,-0.5406497778959266,0.7004472848111819
3,2,28691,-0.31239701030746914,0.7299420752029938
3,3,28691,-0.18377731694378976,0.7338022137008251
3,4,28690,-0.08227782350021845,0.7370224783949787
3,5,28690,0.008511943398562994,0.7358871097357397
3,6,28690,0.09657119264783527,0.7352297368245054
3,7,28690,0.19013667952781033,0.7339109460032018
3,8,28690,0.293869621090772,0.7290674017231195
3,9,28690,0.4192765550675719,0.7212017448764628
3,10,28690,0.6194140119379787,0.6966425823498835
4,1,28995,-0.5357978258919868,0.6995010414262833
4,2,28994,-0.3073351458846174,0.7311034527133237
4,3,28994,-0.17989595899753497,0.7364178446040669
4,4,28994,-0.07972030605738648,0.7379527238148244
4,5,28994,0.00922466057478238,0.7375946082795197
4,6,28994,0.0957082202657871,0.7356059064778607
4,7,28994,0.18754612666961476,0.734848518604955
4,8,28994,0.2900288740473495,0.7290846741865779
4,9,28994,0.4146105203909997,0.7187187296670321
4,10,28994,0.6166789583151647,0.6907851480190975
