fold,coupling_bin,n_pairs,mean_coupling,mean_semantic_similarity
0,1,222922,-0.40528627792209176,0.6059696685952088
0,2,222922,-0.23268173480924242,0.6166732663071463
0,3,222922,-0.14695465271873345,0.6216397972514441
0,4,222922,-0.07992385919715385,0.6251890539125385
0,5,222922,-0.020516436952125086,0.6275448109606325
0,6,222922,0.03689107109442415,0.6305669184707794
0,7,222921,0.09628039712928778,0.6329875452730275
0,8,222921,0.16289893545553918,0.6363840473777321
0,9,222921,0.24853806310735674,0.6385334151228316
0,10,222921,0.4235754675015846,0.6454313026416478
1,1,222922,-0.4132056572279669,0.6163257705802829
1,2,222922,-0.23727309440870634,0.6283760856160189
1,3,222922,-0.15005404719670934,0.6329620202424202
1,4,222922,-0.08190186618177107,0.6366404566449987
1,5,222922,-0.021171769575430776,0.6389567896739141
1,6,222922,0.03741642120548765,0.641782792483854
1,7,222921,0.09807826078625735,0.6442106882216967
1,8,222921,0.16614764996367135,0.6464609293746088
1,9,222921,0.2536096316413144,0.6488520373988728
1,10,222921,0.43256558451773436,0.6536516988150357
2,1,222922,-0.412370533663659,0.597904876131206
2,2,222922,-0.2377850399974085,0.608693369516842
2,3,222922,-0.15049340059756228,0.6138492913368427
2,4,222922,-0.08215818488991782,0.6171122660526924
2,5,222922,-0.02122363219437528,0.6195150242193286
2,6,222922,0.03757832251294992,0.622813786973033
2,7,222921,0.09852686557181513,0.62516283416949
2,8,222921,0.16671292401277799,0.6280098106329546
2,9,222921,0.25412696335412915,0.6302790163270148
2,10,222921,0.431711236181179,0.6369337891143928
3,1,222922,-0.41191662607446256,0.5998008345073146
3,2,222922,-0.23673674696158942,0.6134570147852711
3,3,222922,-0.14996004490600567,0.618918733686473
3,4,222922,-0.08223744125504845,0.6221820589641024
3,5,222922,-0.02198671582259123,0.6251648808743427
3,6,222922,0.035974744807910734,0.6281049990024639
3,7,222921,0.09609229629186863,0.6307365678830928
3,8,222921,0.16384515744374858,0.6331102931061798
3,9,222921,0.25107412409638546,0.6357798369490576
3,10,222921,0.4298815638699038,0.6412393772837718
4,1,222922,-0.40607971209334887,0.6074327842973285
4,2,222922,-0.2333331468121033,0.6203787128416796
4,3,222922,-0.14782769938847917,0.6254111972814673
4,4,222922,-0.08081500659198042,0.629075303652253
4,5,222922,-0.021268457191019826,0.632070638807741
4,6,222922,0.03617411600763426,0.6345907964857178
4,7,222921,0.09570927512455486,0.6371049092242862
4,8,222921,0.16263903207603894,0.6391499202040358
4,9,222921,0.24866288880677034,0.6414211038753038
4,10,222921,0.42520399406727755,0.6466143725741904
