fold,density,n_train_patients,n_eval_patients,n_channels,n_valid_profile_channels,profile_channel_coverage,n_graph_edges,n_valid_edges,mean_edge_weight,edge_semantic_similarity,matched_nonedge_semantic_similarity,edge_minus_matched_nonedge,matched_exact_stratum_rate,primary_permutation_effect_mean,primary_permutation_effect_sd,primary_permutation_p_fold,topology_edge_similarity_mean_secondary,topology_edge_similarity_sd_secondary,topology_edge_similarity_p_fold_secondary,topology_observed_edge_similarity_secondary,topology_successful_rewires,topology_failed_rewires,topology_mean_edge_change_fraction,pairwise_coupling_semantic_rho_descriptive,global_nmi,global_ari,n_communities,mean_profile_mass
0,0.01,288,72,384,361,0.9401041666666666,736,706,0.9518771406856117,0.816506345331781,0.6985357680401605,0.11797057729162053,1.0,0.00032640973168210694,0.012878653626270293,0.000999000999000999,0.7414483514632983,0.004027963278647978,0.009900990099009901,0.816506345331781,100,0,0.7029461756373937,0.08770781368620197,0.26969100348005925,0.018038641516455716,235,0.04246183709840973
0,0.025,288,72,384,361,0.9401041666666666,1839,1786,0.9184203790959994,0.7877523367461272,0.6926189146068512,0.095133422139276,1.0,5.3431690637902205e-05,0.008224622732702195,0.000999000999000999,0.7305629956545928,0.0023625995144508933,0.009900990099009901,0.7877523367461272,100,0,0.6565341545352743,0.08770781368620197,0.239989608390589,0.025517345131016847,180,0.04246183709840973
0,0.05,288,72,384,361,0.9401041666666666,3677,3579,0.8769219142328551,0.7647599275734689,0.6920971560990801,0.07266277147438882,1.0,-9.748655223776159e-05,0.00610259683452746,0.000999000999000999,0.7225173341666522,0.0018527103146328639,0.009900990099009901,0.7647599275734689,100,0,0.637605476390053,0.08770781368620197,0.20758147749226966,0.04209673326484176,123,0.04246183709840973
0,0.1,288,72,384,361,0.9401041666666666,7354,7190,0.8070684135953166,0.7481538012197966,0.7002138082507241,0.047939992969072476,1.0,-2.3224482442655846e-05,0.0037268108149321726,0.000999000999000999,0.7198760444791692,0.0012092104705619402,0.009900990099009901,0.7481538012197966,100,0,0.6277955493741307,0.08770781368620197,0.12845085305212747,0.03402878720680054,56,0.04246183709840973
1,0.01,288,72,384,360,0.9375,736,693,0.9495958028444194,0.8050267650513183,0.685462096145545,0.11956466890577333,1.0,-0.0002630744039799432,0.012757635375610433,0.000999000999000999,0.7285602192838079,0.0041822667269187696,0.009900990099009901,0.8050267650513183,100,0,0.7055266955266956,0.07865531154490006,0.2880263674883626,0.032337422521754415,232,0.04416537932914724
1,0.025,288,72,384,360,0.9375,1839,1750,0.9141213134034052,0.7777822875600271,0.6846951315697133,0.09308715599031381,1.0,-2.756135632617296e-05,0.009171072042566729,0.000999000999000999,0.7225276926854447,0.002263093087711857,0.009900990099009901,0.7777822875600271,100,0,0.6636971428571431,0.07865531154490006,0.2505648150720284,0.04224580969491751,175,0.04416537932914724
1,0.05,288,72,384,360,0.9375,3677,3511,0.8712602545153147,0.7535231891510342,0.6899202171487783,0.06360297200225595,1.0,-0.00029436193351226037,0.006159464806177348,0.000999000999000999,0.7161671188973332,0.0013842557499551492,0.009900990099009901,0.7535231891510342,100,0,0.63970378809456,0.07865531154490006,0.21183230625297694,0.05598134032682942,115,0.04416537932914724
1,0.1,288,72,384,360,0.9375,7354,7094,0.8002861494161797,0.7394901159006385,0.7026345722337899,0.03685554366684862,1.0,5.424821847387684e-05,0.004222723639581423,0.000999000999000999,0.712991019574662,0.0012047506762293933,0.009900990099009901,0.7394901159006385,100,0,0.6336439244431914,0.07865531154490006,0.1453701074823886,0.0556684336690666,52,0.04416537932914724
2,0.01,288,72,384,361,0.9401041666666666,736,705,0.9515554616689824,0.8239964727249971,0.6934637376826972,0.1305327350422999,1.0,0.0005266733655053282,0.012928246102090334,0.000999000999000999,0.740120908344632,0.0035934313900975886,0.009900990099009901,0.8239964727249971,100,0,0.7110354609929078,0.07828941925658206,0.27586457018347926,0.02359902943140668,234,0.04593478079871547
2,0.025,288,72,384,361,0.9401041666666666,1839,1784,0.9179198616367663,0.7932277261687226,0.6940559197992019,0.09917180636952072,1.0,3.185769878601119e-05,0.009068082593611098,0.000999000999000999,0.736578567303476,0.0022206577146845386,0.009900990099009901,0.7932277261687226,100,0,0.660560538116592,0.07828941925658206,0.24688961527811343,0.032831403827908764,180,0.04593478079871547
2,0.05,288,72,384,361,0.9401041666666666,3677,3578,0.876389742954765,0.7720126899240977,0.6961880255405536,0.07582466438354407,1.0,0.00021119408832494845,0.006613152269878351,0.000999000999000999,0.7297739431550554,0.001747838557732743,0.009900990099009901,0.7720126899240977,100,0,0.6400363331470095,0.07828941925658206,0.2052670321011741,0.04643561128277611,119,0.04593478079871547
2,0.1,288,72,384,361,0.9401041666666666,7354,7189,0.8071036179859826,0.7533168043608486,0.7114876847394593,0.041829119621389244,1.0,9.233728196558077e-05,0.003906023328399549,0.000999000999000999,0.7261544866951464,0.001161119521215969,0.009900990099009901,0.7533168043608486,100,0,0.6278745305327584,0.07828941925658206,0.13289777255274307,0.044771346906139695,53,0.04593478079871547
3,0.01,288,72,384,361,0.9401041666666666,736,705,0.9498288408437036,0.8100911500086879,0.6873062227884502,0.1227849272202377,1.0,-0.00027044011808140624,0.013203449103716175,0.000999000999000999,0.7274259402649206,0.004033837718849656,0.009900990099009901,0.8100911500086879,100,0,0.7093333333333334,0.08988415252401478,0.27446503237977316,0.024665444673313174,234,0.04342160505718859
3,0.025,288,72,384,361,0.9401041666666666,1839,1784,0.9144510161380661,0.7783539249200621,0.6868420156006831,0.09151190931937891,1.0,-7.46916425362818e-05,0.009011737496937317,0.000999000999000999,0.7190972405600315,0.0020986287145935154,0.009900990099009901,0.7783539249200621,100,0,0.6618609865470851,0.08988415252401478,0.23850145651463947,0.034723194751009746,174,0.04342160505718859
3,0.05,288,72,384,361,0.9401041666666666,3677,3576,0.8713012887322483,0.7570335749887024,0.6840759240492796,0.07295765093942275,1.0,-0.00028244649169777814,0.006093789933433418,0.000999000999000999,0.71332830368715,0.001919357847235734,0.009900990099009901,0.7570335749887024,100,0,0.6418092841163312,0.08988415252401478,0.2052008080432287,0.05012536660755011,116,0.04342160505718859
3,0.1,288,72,384,361,0.9401041666666666,7354,7190,0.7998214787980534,0.7409847835041158,0.6942610974629561,0.04672368604115973,1.0,7.847514917922149e-05,0.00407797448682267,0.000999000999000999,0.7109814676401907,0.001198299659177524,0.009900990099009901,0.7409847835041158,100,0,0.6314450625869263,0.08988415252401478,0.12767907867036726,0.04366741147692312,47,0.04342160505718859
4,0.01,288,72,384,361,0.9401041666666666,736,706,0.9482132566732945,0.8105392342655123,0.6975655646975819,0.11297366956793042,1.0,0.00018960986290745486,0.012496744977802905,0.000999000999000999,0.738946715484013,0.003788123925523549,0.009900990099009901,0.8105392342655123,100,0,0.7115014164305947,0.08125851970788081,0.26036766830169533,0.013829214601705886,232,0.043575142430744236
4,0.025,288,72,384,361,0.9401041666666666,1839,1785,0.9121034860346171,0.7831360796469568,0.6930964287438479,0.09003965090310884,1.0,2.5905010424429274e-05,0.008902816761216804,0.000999000999000999,0.7317205168134165,0.0022030967027602865,0.009900990099009901,0.7831360796469568,100,0,0.6650084033613446,0.08125851970788081,0.2370759938945823,0.032225248794119615,173,0.043575142430744236
4,0.05,288,72,384,361,0.9401041666666666,3677,3578,0.8684970738343792,0.7652584851219528,0.6960256563915409,0.06923282873041192,1.0,-1.7434087241902873e-05,0.00624969220644665,0.000999000999000999,0.725920527645595,0.001720902208368327,0.009900990099009901,0.7652584851219528,100,0,0.6382867523756288,0.08125851970788081,0.20924941383829063,0.059944029562286436,116,0.043575142430744236
